[jiaren|0150 ¼ÙÈËÅäÖÃÊÒ] KILLFUNC(1) SAFE QUIZ

[G002 Õæ°®ÖÊÑ¯ÎÝ] FIGHT DAY
[M100A|M100 °®Çé³¤ÀÈ] NORECONNECT(G002) NORANDOMMOVE NORECALL NOPOSITIONMOVE DAY
[M100B|M100 °®Çé³¤ÀÈ] NORECONNECT(G002) NORANDOMMOVE NORECALL NOPOSITIONMOVE DAY
[M100C|M100 °®Çé³¤ÀÈ] NORECONNECT(G002) NORANDOMMOVE NORECALL NOPOSITIONMOVE DAY
[F002 °®µÄÐ¡ÎÝ] NORECONNECT(M100A) NORECALL NOPOSITIONMOVE NORANDOMMOVE DAY
[B013 ¶Ä³¡] SAFE NORANDOMMOVE
[B013A|B013 ¶Ä³¡] SAFE NORANDOMMOVE
[DB|DM011 µ£±£µØÍ¼] NORECONNECT(0)
[GA0 ×¯Ô°] SAFE DAY STALL
[GA2 ±ÈÎä³¡] DAY
[N109 ÊÀÍâÌÒÔ´] DAY
[0147	¼àÓü] NORECALL NORANDOMMOVE NOPOSITIONMOVE NOTALLOWUSEMAGIC(Ò°Âù³å×²|Ë²Ï¢ÒÆ¶¯) NOTALLOWUSEITEMS(»Ø³Ç¾í|µØÀÎÌÓÍÑ¾í|ÃËÖØ´«ËÍÊ¯|±ÈÆæ´«ËÍÊ¯) SAFE
[T2361	Ð¡ºÚÎÝ] NORECALL NORANDOMMOVE NOPOSITIONMOVE NOTALLOWUSEMAGIC(Ò°Âù³å×²|Ë²Ï¢ÒÆ¶¯) NOTALLOWUSEITEMS(»Ø³Ç¾í|µØÀÎÌÓÍÑ¾í|ÃËÖØ´«ËÍÊ¯|±ÈÆæ´«ËÍÊ¯) SAFE
[Q001 ÓÂ¶·ËÂµî] NORECONNECT(1) DAY
[T118 ÃüÔËÇôÁý] NORECONNECT(0114) DAY
[G003 Âê·¨×ãÇò³¡] SAFE DAY
[F003 ÐÐ»áÕ½µØÍ¼] Fight2 DAY
[F005 ÐÐ»áÕ½µØÍ¼] Fight2 NORANDOMMOVE DAY
[ZM6|D5071 ÐÐ»áÕù°ÔµØÍ¼] Fight5 NORECONNECT(3) NORANDOMMOVE DAY

M100A	29,81	->	M100B	287,282
[0148	¿ÍÕ»	]	FIGHT
[0149	·þÊÎµê	]	FIGHT
[0158	ÊÎÆ·µê	]	FIGHT
[0159	ÎäÆ÷µê	]	FIGHT
[0160	ÊÛÒ©·¿	]	FIGHT
[0161	Êéµê	]	FIGHT

3          276,320              ->         0143       15,20
0143       16,20                ->         3          277,320

3          255,335              ->         0144       8,19
3          258,334              ->         0144       17,18
0144       9,20                 ->         3          256,336
0144       16,18                ->         3          257,335

3          305,368              ->         0145       6,16
3          306,369              ->         0145       7,17
3          306,368              ->         0145       6,16
0145       5,16                 ->         3          304,369
0145       6,17                 ->         3          305,370

0145       8,2                  ->         0146       7,7
0145       9,3                  ->         0146       8,8
0146       6,8                  ->         0145       8,3
0146       7,8                  ->         0145       9,4

3          290,367              ->         0148       9,15
0148       10,15                ->         3          291,368

3          311,292              ->         0149       3,9
3          321,302              ->         0149       17,25
0149       2,10                 ->         3          310,293
0149       17,26                ->         3          320,303

3          290,302              ->         0158       6,27
3          300,293              ->         0158       21,12
0158       7,28                 ->         3          291,303
0158       22,13                ->         3          301,294

3          330,314              ->         0159       5,16
0159       4,16                 ->         3          329,315

3          269,351              ->         0160       3,15
0160       2,15                 ->         3          268,352

3          410,321              ->         0161       7,16
3          411,322              ->         0161       8,17
0161       6,16                 ->         3          409,322
0161       7,17                 ->         3          410,323

;É³°Í¿Ë

[0150	É³°Í¿Ë»Ê¹¬] NORANDOMMOVE NORECALL DAY
[0151	ÎäÆ÷µê]	FIGHT
[0152	²Ö¿â]	FIGHT
[0153	Ò©Æ·µê]	FIGHT
[0154	ÊÎÆ·µê]	FIGHT
[0155	·þ×°µê]	FIGHT
[0156	¼àÓü]	FIGHT
[D701	ÃØÃÜÍ¨µÀ] DAY

3          564,287              ->         D701       28,22
3          564,286              ->         D701       28,22
D701       27,23                ->         3          563,286

D701       171,132              ->         3          660,276
D701       171,133              ->         3          660,276
3          661,277              ->         D701       169,136

D701       31,128               ->         3          577,295
3          578,296              ->         D701       32,127

3          630,274              ->         0150       15,19
3          631,273              ->         0150       16,18
0150       15,20                ->         3          631,275
0150       16,19                ->         3          632,274

0150       8,23                 ->         3          624,271
3          624,270              ->         0150       9,23
3          624,278              ->         0150       6,21
3          627,278              ->         0150       11,22
3          634,271              ->         0150       19,14
3          626,320              ->         0151       6,22
3          634,312              ->         0151       17,10
0151       7,23                 ->         3          627,321
0151       18,11                ->         3          635,313
0151       6,23                 ->         3          627,321

3          637,242              ->         0152       10,15
0152       10,16                ->         3          638,243

3          637,333              ->         0153       6,21
3          645,325              ->         0153       17,9
0153       6,22                 ->         3          638,334
0153       18,10                ->         3          646,326

3          676,293              ->         0154       5,21
3          683,285              ->         0154       16,10
3          676,292              ->         0154       5,21
3          683,286              ->         0154       16,10
0154       6,22                 ->         3          677,294
0154       17,11                ->         3          684,286

3          664,282              ->         0155       5,21
3          672,274              ->         0155       17,9
0155       6,22                 ->         3          665,283
0155       18,10                ->         3          673,275

3          600,282              ->         0156       9,15
0156       10,16                ->         3          601,283

[E701	ÏãÊ¯¹ÅÄ¹Ò»²ã] DAY
[E702	ÏãÊ¯¹ÅÄ¹¶þ²ã] DAY
[E703	ÏãÊ¯¹ÅÄ¹Èý²ã] DAY

D701       172,79               ->         E701       12,18
E701       12,17                ->         D701       173,78

E701       89,84                ->         E702       59,69
E702       60,68                ->         E701       88,83

E702       64,94                ->         E703       48,46
E703       49,45                ->         E702       65,93

E703       58,84                ->         D712       206,224
D712       206,223              ->         E703       59,83

;×æÂê
[0157	×æÂêËÂÃí´óµî] DAY
[D501	×æÂêËÂÃíÒ»²ã] DAY
[D502	×æÂêËÂÃí¶þ²ã] DAY
[D503	×æÂêËÂÃíÈý²ã] DAY
[D504	×æÂêËÂÃíËÄ²ã] DAY
[D505	×æÂêËÂÃíÎå²ã] DAY
[D511	Í¼Êé¹Ý]
[D512	Í¼Êé¹Ý]
[D513	Í¼Êé¹Ý]
[D514	Í¼Êé¹Ý]
[D5061	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5062	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5063	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5064	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5065	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5066	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5067	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5068	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5069	×æÂê¸ó]	NORANDOMMOVE	NORECALL	NOPOSITIONMOVE DAY
[D5071	×æÂêÁù²ã´óÌü] NORECALL DAY
[D5072	×æÂêÆß²ãÒ»] NORECALL NORANDOMMOVE NORECONNECT(D5071)  NOPOSITIONMOVE DAY
[D5073	×æÂêÆß²ã¶þ] NORECALL NORANDOMMOVE NORECONNECT(D5071)  NOPOSITIONMOVE DAY
[D5074	×æÂêÆß²ãÈý] NORECALL NORANDOMMOVE NORECONNECT(D5071)  NOPOSITIONMOVE DAY
[D515	×æÂê½ÌÖ÷Ö®¼Ò] NORECALL NORANDOMMOVE NORECONNECT(D5071)  NOPOSITIONMOVE DAY

3          862,174              ->         0157       9,25
3          863,174              ->         0157       10,26
0157       8,26                 ->         3          861,175
0157       9,27                 ->         3          862,175

0157       20,15                ->         D501       166,216
D501       165,217              ->         0157       19,16

D501       326,97               ->         D512       20,11
D512       19,11                ->         D501       325,96

D501       302,74               ->         D511       29,21
D511       29,22                ->         D501       303,75

D502       326,97               ->         D514       20,11
D514       19,11                ->         D502       325,96

D502       302,74               ->         D513       29,21
D513       29,22                ->         D502       303,75

0157       20,5                 ->         D501       166,216
D501       165,217              ->         0157       19,16

D501       350,170              ->         D502       166,216
D502       165,217              ->         D501       350,171

D502       112,231              ->         D503       166,216
D503       165,217              ->         D502       112,232

D503       295,146              ->         D504       166,216
D504       165,217              ->         D503       295,147

D504       51,173               ->         D505       96,101
D505       95,102               ->         D504       52,174

D505       123,10               ->         D5061      8,16
D5061      7,17                 ->         D505       122,11

D5074      77,15                ->         D515       14,31
D515       13,32                ->         D5074      76,16

D5061 7,10 -> D5066 91,43
D5061 14,16 -> D5066 34,11 
D5061 14,10 -> D5064 34,76 
D5061 33,10 -> D5064 65,75 
D5061 40,16 -> D5064 8,11 
D5061 33,17 -> D5066 65,71 
D5061 40,10 -> D5062 9,77 
D5061 59,10 -> D5062 39,15 
D5061 66,16 -> D5071 8,10
D5061 59,17 -> D5064 39,71 
D5061 66,10 -> D5069 84,76 
D5061 84,11 -> D5069 13,43 
D5061 91,17 -> D5069 60,11 
D5061 84,18 -> D5062 14,72 
D5061 91,11 -> D5067 60,76 
D5061 7,38 -> D5066 65,43 
D5061 14,44 -> D5066 8,39 
D5061 7,45 -> D5068 65,11 
D5061 14,38 -> D5064 8,16 
D5061 33,38 -> D5064 39,75 
D5061 40,44 -> D5064 86,39 
D5061 33,45 -> D5066 39,11 
D5061 40,38 -> D5062 85,17 
D5061 59,38 -> D5062 13,15 
D5061 66,44 -> D5062 60,39 
D5061 59,45 -> D5064 13,11 
D5061 66,38 -> D5069 60,16 
D5061 85,38 -> D5069 91,43 
D5061 92,44 -> D5069 34,39 
D5061 85,45 -> D5062 90,12 
D5061 92,38 -> D5067 34,16 
D5061 8,71 -> D5066 39,43 
D5061 15,77 -> D5066 84,71 
D5061 8,78 -> D5068 39,39 
D5061 15,71 -> D5064 86,44 
D5061 33,70 -> D5064 14,76 
D5061 40,76 -> D5064 60,71 
D5061 33,77 -> D5066 13,39 
D5061 40,70 -> D5062 60,44 
D5061 59,70 -> D5062 90,16 
D5061 66,76 -> D5062 34,71 
D5061 59,77 -> D5064 91,39 
D5061 66,70 -> D5069 34,44 
D5061 83,70 -> D5069 65,43 
D5061 90,76 -> D5069 9,72 
D5061 83,77 -> D5062 65,39 
D5061 90,70 -> D5067 8,44 
D5062 7,10 -> D5064 89,75 
D5062 14,16 -> D5064 34,39 
D5062 7,17 -> D5066 90,12 
D5062 14,10 -> D5062 34,16 
D5062 33,10 -> D5062 65,15 
D5062 40,16 -> D5062 8,39 
D5062 33,17 -> D5064 65,11 
D5062 40,10 -> D5069 8,16 
D5062 59,10 -> D5069 39,43 
D5062 66,16 -> D5069 86,39 
D5062 59,17 -> D5062 39,11 
D5062 66,10 -> D5067 85,17 
D5062 84,11 -> D5067 14,76 
D5062 91,17 -> D5067 60,39 
D5062 84,18 -> D5069 13,11 
D5062 91,11 -> D5065 60,16 
D5062 7,38 -> D5064 65,75 
D5062 14,44 -> D5064 9,72 
D5062 7,45 -> D5066 65,39 
D5062 14,38 -> D5062 8,44 
D5062 33,38 -> D5062 39,15 
D5062 40,44 -> D5062 84,71 
D5062 33,45 -> D5064 39,39 
D5062 40,38 -> D5069 86,44 
D5062 59,38 -> D5069 13,43 
D5062 66,44 -> D5069 60,71 
D5062 59,45 -> D5062 13,39 
D5062 66,38 -> D5067 60,44 
D5062 85,38 -> D5067 89,75 
D5062 92,44 -> D5067 34,71 
D5062 85,45 -> D5069 91,39 
D5062 92,38 -> D5065 34,44 
D5062 8,71 -> D5064 39,75 
D5062 15,77 -> D5064 85,12 
D5062 8,78 -> D5066 39,71 
D5062 15,71 -> D5062 84,76 
D5062 33,70 -> D5062 13,15 
D5062 40,76 -> D5062 60,11 
D5062 33,77 -> D5064 14,72 
D5062 40,70 -> D5069 60,76 
D5062 59,70 -> D5069 91,43 
D5062 66,76 -> D5069 34,11 
D5062 59,77 -> D5062 89,71 
D5062 66,70 -> D5067 34,76 
D5062 83,70 -> D5067 65,75 
D5062 90,76 -> D5067 8,11 
D5062 83,77 -> D5069 65,71 
D5062 90,70 -> D5065 9,77 
D5063 7,10 -> D5062 90,16 
D5063 14,16 -> D5062 34,71 
D5063 7,17 -> D5064 91,39 
D5063 14,10 -> D5069 34,44 
D5063 33,10 -> D5069 65,43 
D5063 40,16 -> D5069 9,72 
D5063 33,17 -> D5062 65,39 
D5063 40,10 -> D5067 8,44 
D5063 59,10 -> D5067 39,75 
D5063 66,16 -> D5067 84,71 
D5063 59,17 -> D5069 39,39 
D5063 66,10 -> D5065 86,44 
D5063 84,11 -> D5065 13,15 
D5063 91,17 -> D5065 60,71 
D5063 84,18 -> D5067 13,39 
D5063 91,11 -> D5063 60,44 
D5063 7,38 -> D5062 65,15 
D5063 14,44 -> D5062 8,11 
D5063 7,45 -> D5064 65,71 
D5063 14,38 -> D5069 9,77 
D5063 33,38 -> D5069 39,43 
D5063 40,44 -> D5069 85,12 
D5063 33,45 -> D5062 39,71 
D5063 40,38 -> D5067 84,76 
D5063 59,38 -> D5067 14,76 
D5063 66,44 -> D5067 60,11 
D5063 59,45 -> D5069 14,72 
D5063 66,38 -> D5065 60,76 
D5063 85,38 -> D5065 90,16 
D5063 92,44 -> D5065 34,11 
D5063 85,45 -> D5067 89,71 
D5063 92,38 -> D5063 34,76 
D5063 8,71 -> D5062 39,15 
D5063 15,77 -> D5062 86,39 
D5063 8,78 -> D5064 39,11 
D5063 15,71 -> D5069 85,17 
D5063 33,70 -> D5069 13,43 
D5063 40,76 -> D5069 60,39 
D5063 33,77 -> D5062 13,11 
D5063 40,70 -> D5067 60,16 
D5063 59,70 -> D5067 89,75 
D5063 66,76 -> D5067 34,39 
D5063 59,77 -> D5069 90,12 
D5063 66,70 -> D5065 34,16 
D5063 83,70 -> D5065 65,15 
D5063 90,76 -> D5065 8,39 
D5063 83,77 -> D5067 65,11 
D5063 90,70 -> D5063 8,16 
D5064 7,10 -> D5069 91,43 
D5064 14,16 -> D5069 34,11 
D5064 7,17 -> D5062 89,71 
D5064 14,10 -> D5067 34,76 
D5064 33,10 -> D5067 65,75 
D5064 40,16 -> D5067 8,11 
D5064 33,17 -> D5069 65,71 
D5064 40,10 -> D5065 9,77 
D5064 59,10 -> D5065 39,15 
D5064 66,16 -> D5065 85,12 
D5064 59,17 -> D5067 39,71 
D5064 66,10 -> D5063 84,76 
D5064 84,11 -> D5063 13,43 
D5064 91,17 -> D5063 60,11 
D5064 84,18 -> D5065 14,72 
D5064 91,11 -> D5061 60,76 
D5064 7,38 -> D5069 65,43 
D5064 14,44 -> D5069 8,39 
D5064 7,45 -> D5062 65,11 
D5064 14,38 -> D5067 8,16 
D5064 33,38 -> D5067 39,75 
D5064 40,44 -> D5067 86,39 
D5064 33,45 -> D5069 39,11 
D5064 40,38 -> D5065 85,17 
D5064 59,38 -> D5065 13,15 
D5064 66,44 -> D5065 60,39 
D5064 59,45 -> D5067 13,11 
D5064 66,38 -> D5063 60,16 
D5064 85,38 -> D5063 91,43 
D5064 92,44 -> D5063 34,39 
D5064 85,45 -> D5065 90,12 
D5064 92,38 -> D5061 34,16 
D5064 8,71 -> D5069 39,43 
D5064 15,77 -> D5069 84,71 
D5064 8,78 -> D5062 39,39 
D5064 15,71 -> D5067 86,44 
D5064 33,70 -> D5067 14,76 
D5064 40,76 -> D5067 60,71 
D5064 33,77 -> D5069 13,39 
D5064 40,70 -> D5065 60,44 
D5064 59,70 -> D5065 90,16 
D5064 66,76 -> D5065 34,71 
D5064 59,77 -> D5067 91,39 
D5064 66,70 -> D5063 34,44 
D5064 83,70 -> D5063 65,43 
D5064 90,76 -> D5063 9,72 
D5064 83,77 -> D5065 65,39 
D5064 90,70 -> D5061 8,44 
D5065 7,10 -> D5067 89,75 
D5065 14,16 -> D5067 34,39 
D5065 7,17 -> D5069 90,12 
D5065 14,10 -> D5065 34,16 
D5065 33,10 -> D5065 65,15 
D5065 40,16 -> D5065 8,39 
D5065 33,17 -> D5067 65,11 
D5065 40,10 -> D5063 8,16 
D5065 59,10 -> D5063 39,43 
D5065 66,16 -> D5063 86,39 
D5065 59,17 -> D5065 39,11 
D5065 66,10 -> D5061 85,17 
D5065 84,11 -> D5061 14,76 
D5065 91,17 -> D5061 60,39 
D5065 84,18 -> D5063 13,11 
D5065 91,11 -> D5068 60,16 
D5065 7,38 -> D5067 65,75 
D5065 14,44 -> D5067 9,72 
D5065 7,45 -> D5069 65,39 
D5065 14,38 -> D5065 8,44 
D5065 33,38 -> D5065 39,15 
D5065 40,44 -> D5065 84,71 
D5065 33,45 -> D5067 39,39 
D5065 40,38 -> D5063 86,44 
D5065 59,38 -> D5063 13,43 
D5065 66,44 -> D5063 60,71 
D5065 59,45 -> D5065 13,39 
D5065 66,38 -> D5061 60,44 
D5065 85,38 -> D5061 89,75 
D5065 92,44 -> D5061 34,71 
D5065 85,45 -> D5063 91,39 
D5065 92,38 -> D5068 34,44 
D5065 8,71 -> D5067 39,75 
D5065 15,77 -> D5067 85,12 
D5065 8,78 -> D5069 39,71 
D5065 15,71 -> D5065 84,76 
D5065 33,70 -> D5065 13,15 
D5065 40,76 -> D5065 60,11 
D5065 33,77 -> D5067 14,72 
D5065 40,70 -> D5063 60,76 
D5065 59,70 -> D5063 91,43 
D5065 66,76 -> D5063 34,11 
D5065 59,77 -> D5065 89,71 
D5065 66,70 -> D5061 34,76 
D5065 83,70 -> D5061 65,75 
D5065 90,76 -> D5061 8,11 
D5065 83,77 -> D5063 65,71 
D5065 90,70 -> D5068 9,77 
D5066 7,10 -> D5065 90,16 
D5066 14,16 -> D5065 34,71 
D5066 7,17 -> D5067 91,39 
D5066 14,10 -> D5063 34,44 
D5066 33,10 -> D5063 65,43 
D5066 40,16 -> D5063 9,72 
D5066 33,17 -> D5065 65,39 
D5066 40,10 -> D5061 8,44 
D5066 59,10 -> D5061 39,75 
D5066 66,16 -> D5061 84,71 
D5066 59,17 -> D5063 39,39 
D5066 66,10 -> D5068 86,44 
D5066 84,11 -> D5068 13,15 
D5066 91,17 -> D5068 60,71 
D5066 84,18 -> D5061 13,39 
D5066 91,11 -> D5066 60,44 
D5066 7,38 -> D5065 65,15 
D5066 14,44 -> D5065 8,11 
D5066 7,45 -> D5067 65,71 
D5066 14,38 -> D5063 9,77 
D5066 33,38 -> D5063 39,43 
D5066 40,44 -> D5063 85,12 
D5066 33,45 -> D5065 39,71 
D5066 40,38 -> D5061 84,76 
D5066 59,38 -> D5061 14,76 
D5066 66,44 -> D5061 60,11 
D5066 59,45 -> D5063 14,72 
D5066 66,38 -> D5068 60,76 
D5066 85,38 -> D5068 90,16 
D5066 92,44 -> D5068 34,11 
D5066 85,45 -> D5061 89,71 
D5066 92,38 -> D5066 34,76
D5066 8,71 -> D5065 39,15 
D5066 15,77 -> D5065 86,39 
D5066 8,78 -> D5067 39,11 
D5066 15,71 -> D5063 85,17 
D5066 33,70 -> D5063 13,43 
D5066 40,76 -> D5063 60,39 
D5066 33,77 -> D5065 13,11 
D5066 40,70 -> D5061 60,16
D5066 59,70 -> D5061 89,75 
D5066 66,76 -> D5061 34,39 
D5066 59,77 -> D5063 90,12 
D5066 66,70 -> D5068 34,16 
D5066 83,70 -> D5068 65,15 
D5066 90,76 -> D5068 8,39 
D5066 83,77 -> D5061 65,11 
D5066 90,70 -> D5066 8,16 
D5067 7,10 -> D5063 91,43 
D5067 14,16 -> D5063 34,11 
D5067 7,17 -> D5065 89,71 
D5067 14,10 -> D5061 34,76 
D5067 33,10 -> D5061 65,75 
D5067 40,16 -> D5061 8,11 
D5067 33,17 -> D5063 65,71 
D5067 40,10 -> D5068 9,77 
D5067 59,10 -> D5068 39,15 
D5067 66,16 -> D5068 85,12 
D5067 59,17 -> D5061 39,71 
D5067 66,10 -> D5066 84,76 
D5067 84,11 -> D5066 13,43 
D5067 91,17 -> D5066 60,11 
D5067 84,18 -> D5068 14,72 
D5067 91,11 -> D5064 60,76 
D5067 7,38 -> D5063 65,43 
D5067 14,44 -> D5063 8,39 
D5067 7,45 -> D5065 65,11 
D5067 14,38 -> D5061 8,16 
D5067 33,38 -> D5061 39,75 
D5067 40,44 -> D5061 86,39 
D5067 33,45 -> D5063 39,11 
D5067 40,38 -> D5068 85,17 
D5067 59,38 -> D5068 13,15 
D5067 66,44 -> D5068 60,39 
D5067 59,45 -> D5061 13,11 
D5067 66,38 -> D5066 60,16 
D5067 85,38 -> D5066 91,43 
D5067 92,44 -> D5066 34,39 
D5067 85,45 -> D5068 90,12 
D5067 92,38 -> D5064 34,16 
D5067 8,71 -> D5063 39,43 
D5067 15,77 -> D5063 84,71 
D5067 8,78 -> D5065 39,39 
D5067 15,71 -> D5061 86,44 
D5067 33,70 -> D5061 14,76 
D5067 40,76 -> D5061 60,71 
D5067 33,77 -> D5063 13,39 
D5067 40,70 -> D5068 60,44 
D5067 59,70 -> D5068 90,16 
D5067 66,76 -> D5068 34,71 
D5067 59,77 -> D5061 91,39 
D5067 66,70 -> D5066 34,44 
D5067 83,70 -> D5066 65,43 
D5067 90,76 -> D5066 9,72 
D5067 83,77 -> D5068 65,39 
D5067 90,70 -> D5064 8,44 
D5068 7,10 -> D5061 89,75 
D5068 14,16 -> D5061 34,39 
D5068 7,17 -> D5063 90,12 
D5068 14,10 -> D5068 34,16 
D5068 33,10 -> D5068 65,15 
D5068 40,16 -> D5068 8,39 
D5068 33,17 -> D5061 65,11 
D5068 40,10 -> D5066 8,16 
D5068 59,10 -> D5066 39,43 
D5068 66,16 -> D5066 86,39 
D5068 59,17 -> D5068 39,11 
D5068 66,10 -> D5064 85,17 
D5068 84,11 -> D5064 14,76 
D5068 91,17 -> D5064 60,39 
D5068 84,18 -> D5066 13,11 
D5068 91,11 -> D5062 60,16 
D5068 7,38 -> D5061 65,75 
D5068 14,44 -> D5061 9,72 
D5068 7,45 -> D5063 65,39 
D5068 14,38 -> D5068 8,44 
D5068 33,38 -> D5068 39,15 
D5068 40,44 -> D5068 84,71 
D5068 33,45 -> D5061 39,39 
D5068 40,38 -> D5066 86,44 
D5068 59,38 -> D5066 13,43 
D5068 66,44 -> D5066 60,71 
D5068 59,45 -> D5068 13,39 
D5068 66,38 -> D5064 60,44 
D5068 85,38 -> D5064 89,75 
D5068 92,44 -> D5064 34,71
D5068 85,45 -> D5066 91,39 
D5068 92,38 -> D5062 34,44 
D5068 8,71 -> D5061 39,75 
D5068 15,77 -> D5061 85,12 
D5068 8,78 -> D5063 39,71 
D5068 15,71 -> D5068 84,76 
D5068 33,70 -> D5068 13,15 
D5068 40,76 -> D5068 60,11 
D5068 33,77 -> D5061 14,72 
D5068 40,70 -> D5066 60,76 
D5068 59,70 -> D5066 91,43 
D5068 66,76 -> D5066 34,11 
D5068 59,77 -> D5068 89,71 
D5068 66,70 -> D5064 34,76 
D5068 83,70 -> D5064 65,75 
D5068 90,76 -> D5064 8,11 
D5068 83,77 -> D5066 65,71 
D5068 90,70 -> D5062 9,77 
D5069 7,10 -> D5068 90,16 
D5069 14,16 -> D5068 34,71 
D5069 7,17 -> D5061 91,39 
D5069 14,10 -> D5066 34,44 
D5069 33,10 -> D5066 65,43 
D5069 40,16 -> D5066 9,72 
D5069 33,17 -> D5068 65,39 
D5069 40,10 -> D5064 8,44 
D5069 59,10 -> D5064 39,75 
D5069 66,16 -> D5064 84,71 
D5069 59,17 -> D5066 39,39 
D5069 66,10 -> D5062 86,44 
D5069 84,11 -> D5062 13,15 
D5069 91,17 -> D5062 60,71 
D5069 84,18 -> D5064 13,39 
D5069 91,11 -> D5069 60,44 
D5069 7,38 -> D5068 65,15 
D5069 14,44 -> D5068 8,11 
D5069 7,45 -> D5061 65,71 
D5069 14,38 -> D5066 9,77 
D5069 33,38 -> D5066 39,43 
D5069 40,44 -> D5066 85,12 
D5069 33,45 -> D5068 39,71 
D5069 40,38 -> D5064 84,76 
D5069 59,38 -> D5064 14,76 
D5069 66,44 -> D5064 60,11 
D5069 59,45 -> D5066 14,72 
D5069 66,38 -> D5062 60,76 
D5069 85,38 -> D5062 90,16 
D5069 92,44 -> D5062 34,11 
D5069 85,45 -> D5064 89,71 
D5069 92,38 -> D5069 34,76 
D5069 8,71 -> D5068 39,15 
D5069 15,77 -> D5068 86,39 
D5069 8,78 -> D5061 39,11 
D5069 15,71 -> D5066 85,17 
D5069 33,70 -> D5066 13,43 
D5069 40,76 -> D5066 60,39 
D5069 33,77 -> D5068 13,11 
D5069 40,70 -> D5064 60,16 
D5069 59,70 -> D5064 89,75 
D5069 66,76 -> D5064 34,39 
D5069 59,77 -> D5066 90,12 
D5069 66,70 -> D5062 34,16 
D5069 83,70 -> D5062 65,15 
D5069 90,76 -> D5062 8,39 
D5069 83,77 -> D5064 65,11 
D5069 90,70 -> D5069 8,16 

D5069 90,76 -> D5071 8,10
D5071 7,9 -> D5069 89,75           

D5071      39,43                ->         D5072      7,51
D5072      6,50                 ->         D5071      38,42

D5072      90,20                ->         D5073      10,69
D5073      9,70                 ->         D5072      89,21

D5073      60,9                 ->         D5074      47,90
D5074      48,91                ->         D5073      59,10

;Öí¶´
[D710	Ê¯Ä¹Èë¿Ú] DAY
[D711	Ê¯Ä¹Ò»²ã] DAY
[D712	Ê¯Ä¹¶þ²ã] DAY
[D713	Ê¯Ä¹Èý²ã] DAY
[D714	Ê¯Ä¹ËÄ²ã] DAY
[D715	Ê¯Ä¹Îå²ã] DAY
[D716	Ê¯Ä¹Áù²ã] NORECALL DAY
[D717	Ê¯Ä¹Æß²ã] NORECALL NORECONNECT(D71601) DAY
[D71601	Ê¯Ä¹Õó]	NORECALL DAY
[D71602	Ê¯Ä¹Õó]	NORECALL DAY
[D71603	Ê¯Ä¹Õó]	NORECALL DAY
[D71604	Ê¯Ä¹Õó]	NORECALL DAY
[D71605	Ê¯Ä¹Õó]	NORECALL DAY
[D71606	Ê¯Ä¹Õó]	NORECALL DAY
[D71607	Ê¯Ä¹Õó]	NORECALL DAY
[D71608	Ê¯Ä¹Õó]	NORECALL DAY
[D71609	Ê¯Ä¹Õó]	NORECALL DAY
[D71610	Ê¯Ä¹Õó]	NORECALL DAY
[D71611	Ê¯Ä¹Õó]	NORECALL DAY
[D71612	Ê¯Ä¹Õó]	NORECALL DAY
[D71613	Ê¯Ä¹Õó]	NORECALL DAY
[D71614	Ê¯Ä¹Õó]	NORECALL DAY
[D71615	Ê¯Ä¹Õó]	NORECALL DAY
[D71616	Ê¯Ä¹Õó]	NORECALL DAY
[D71617	Ê¯Ä¹Õó] NORECALL DAY
[D71618	Ê¯Ä¹Õó]	NORECALL DAY
[D71619	Ê¯Ä¹Õó] NORECALL DAY
[D71620	Ê¯Ä¹Õó] NORECALL DAY
[D71621	Ê¯Ä¹Õó] NORECALL DAY
[D71622	Ê¯Ä¹Õó]	NORECALL DAY
[D71623	Ê¯Ä¹Õó]	NORECALL DAY
[D71624	Ê¯Ä¹Õó] NORECALL DAY
[D71625	Ê¯Ä¹Õó] NORECALL DAY
[D71650	Ê¯Ä¹Õó] NORECALL DAY
[D71651	Ê¯Ä¹Õó] NORECALL DAY
[D71652	Ê¯Ä¹Õó] NORECALL DAY
[D71653	Ê¯Ä¹Õó] NORECALL DAY
[R001	ÌÒÔ´Ö®ÃÅ] NEEDHOLE NORECALL  NORECONNECT(D71601) DAY

D717       80,28                ->         R001      162,169

3          305,324              ->         D710       28,21
D710       27,22                ->         3          304,325

D710       25,21                ->         D711       205,198
D711       205,197              ->         D710       26,20

D711       364,229              ->         D712       364,226
D712       363,227              ->         D711       363,230

D712       31,193               ->         D713       31,191
